Post_id,Fashion Brand,Instagram Handle,Customer Feedback,Date,Location,Hashtag,Sentiment
1,Zara,@zaraofficial,Love the new collection! ??,5/10/2020,"London, UK",#Fashion #Style,Positive
2,H&M,@hm,The quality is so poor. ??,11/15/2019,"Manchester, UK",#Disappointed,Negative
3,Burberry,@burberry,Neutral designs.,8/22/2022,"Birmingham, UK",#Classic,Neutral
4,ASOS,@asos,Amazing deals on the website! ???,6/5/2021,"Glasgow, UK",#Sale #Fashion,Positive
5,Topshop,@topshop,Not as trendy as before.,1/17/2023,"Edinburgh, UK",#VintageVibes,Negative
6,Primark,@primark,Affordable and stylish!,4/12/2022,"London, UK",#BudgetFashion,Positive
7,Gucci,@gucci,Exquisite craftsmanship.,9/30/2020,"London, UK",#Luxury #Fashion,Positive
8,Boohoo,@boohoo,Terrible customer service. ??,12/8/2021,"Liverpool, UK",#Avoid,Negative
9,River Island,@riverisland,Meh.,5/20/2023,"Bristol, UK",#Casual #Style,Neutral
10,Missguided,@missguided,In love with their dresses! ??,11/2/2022,"Leeds, UK",#PartyWear #Fashion,Positive
11,Adidas,@adidas,Their shoes never disappoint! ??,8/17/2021,"London, UK",#Sportswear #Footwear,Positive
12,New Look,@newlook,Affordable and trendy options.,3/25/2020,"Birmingham, UK",#BudgetFashion,Positive
13,Balenciaga,@balenciaga,Unimpressed with the latest collection.,2/10/2023,"Manchester, UK",#HighFashion,Negative
14,Primark,@primark,Great place for basics.,7/4/2022,"Edinburgh, UK",#Essentials,Positive
15,Burberry,@burberry,Classic and elegant designs.,4/30/2021,"Glasgow, UK",#Timeless,Positive
16,ASOS,@asos,Slow shipping times. ??,11/20/2020,"London, UK",#ShippingIssues,Negative
17,Topman,@topman,Lacking variety in men's collection.,6/15/2023,"Leeds, UK",#MensFashion,Neutral
18,Gucci,@gucci,Overpriced for what you get.,9/12/2019,"London, UK",#Luxury,Negative
19,Missguided,@missguided,Cute and affordable dresses!,2/5/2022,"Bristol, UK",#AffordableStyle,Positive
20,Zara,@zaraofficial,Quality has gone downhill.,4/18/2023,"Liverpool, UK",#Disappointed,Negative
21,Boohoo,@boohoo,Stylish and budget-friendly.,7/22/2021,"Manchester, UK",#FashionOnABudget,Positive
22,Nike,@nike,Always the best for activewear.,12/9/2020,"Birmingham, UK",#Athleisure,Positive
23,H&M,@hm,Sustainable fashion efforts are commendable.,9/28/2022,"London, UK",#Sustainability,Positive
24,River Island,@riverisland,Meh.,3/7/2023,"Glasgow, UK",#Casual,Neutral
25,Versace,@versace,Exquisite and luxurious.,11/5/2019,"Edinburgh, UK",#LuxuryFashion,Positive
26,Uniqlo,@uniqlo,Where's the innovation?,1/30/2021,"Manchester, UK",#BasicApparel,Neutral
27,Mango,@mango,Disappointed with the latest collection.,5/12/2022,"London, UK",#FashionDisappointment,Negative
28,Topshop,@topshop,"Used to be a go-to, not anymore.",8/2/2023,"Leeds, UK",#NotImpressed,Negative
29,Primark,@primark,Bargain shopping heaven!,10/25/2020,"Bristol, UK",#CheapThrills,Positive
30,Louis Vuitton,@louisvuitton,Timeless and iconic.,6/18/2022,"Birmingham, UK",#HighEnd,Positive
31,Forever 21,@forever21,Trendy but not the best quality.,3/14/2021,"Manchester, UK",#Trendy,Neutral
32,Zara,@zaraofficial,Impressed with the new collection.,7/11/2023,"London, UK",#NewArrivals,Positive
33,Prada,@prada,Unique and luxurious designs.,4/19/2020,"Glasgow, UK",#LuxuryFashion,Positive
34,ASOS,@asos,Unreliable sizing information.,10/8/2022,"Edinburgh, UK",#SizeIssues,Negative
35,Boohoo,@boohoo,Stylish and affordable options.,5/30/2023,"Birmingham, UK",#AffordableFashion,Positive
36,Mango,@mango,Great customer service experience!,12/27/2019,"Liverpool, UK",#CustomerSatisfaction,Positive
37,Calvin Klein,@calvinklein,Disappointed with recent designs.,9/16/2021,"Manchester, UK",#FashionReview,Negative
38,Nike,@nike,Motivating designs for workouts.,3/22/2022,"London, UK",#Fitness,Positive
39,New Look,@newlook,Lack of unique styles.,1/5/2023,"Leeds, UK",#FashionVariety,Neutral
40,Versace,@versace,Elegant and luxurious.,8/14/2020,"Bristol, UK",#LuxuryFashion,Positive
41,H&M,@hm,Affordable basics are a win!,10/27/2021,"Glasgow, UK",#WardrobeEssentials,Positive
42,Topman,@topman,Where are the latest trends?,11/11/2022,"Edinburgh, UK",#FashionUpdate,Neutral
43,Missguided,@missguided,Quality doesn't match the price.,10/9/2019,"Manchester, UK",#QuestionableQuality,Negative
44,Adidas,@adidas,Sleek and functional sportswear.,7/1/2021,"London, UK",#Sporty,Positive
45,Gucci,@gucci,"Iconic and luxurious, but overpriced.",3/19/2023,"Birmingham, UK",#HighEndFashion,Neutral
46,Uniqlo,@uniqlo,Reliable basics for everyday wear.,4/2/2022,"Manchester, UK",#Basics,Positive
47,Zara,@zaraofficial,Disappointed with recent purchases.,6/7/2023,"London, UK",#FashionFrustration,Negative
48,Burberry,@burberry,Elegant and classic as always.,9/23/2020,"Bristol, UK",#Timeless,Positive
49,Primark,@primark,Amazing value for the price!,12/30/2021,"Glasgow, UK",#AffordableStyle,Positive
50,Louis Vuitton,@louisvuitton,Unmatched luxury and craftsmanship.,2/18/2022,"Edinburgh, UK",#Luxury,Positive
51,Nike,@nike,Innovative sportswear designs.,7/29/2023,"London, UK",#AthleticInnovation,Positive
52,Mango,@mango,Quality has improved lately.,4/11/2020,"Manchester, UK",#FashionProgress,Positive
53,Topshop,@topshop,Unique and trendy styles.,6/14/2022,"Birmingham, UK",#FashionForward,Positive
54,Balenciaga,@balenciaga,Designs are too avant-garde.,4/7/2023,"Leeds, UK",#AvantGarde,Neutral
55,Zara,@zaraofficial,Affordable and stylish options.,2/8/2021,"Glasgow, UK",#FashionFinds,Positive
56,Gucci,@gucci,Love the new collection!,11/16/2022,"London, UK",#LuxuryFashion,Positive
57,ASOS,@asos,Frustrating returns process.,1/22/2023,"Bristol, UK",#ReturnIssues,Negative
58,H&M,@hm,Their sustainable efforts are commendable.,9/30/2021,"Manchester, UK",#SustainableFashion,Positive
59,New Look,@newlook,Great variety of styles.,8/27/2020,"London, UK",#FashionVariety,Positive
60,Adidas,@adidas,Performance-oriented sportswear.,3/19/2022,"Birmingham, UK",#SportsPerformance,Positive
61,Primark,@primark,Trendy items at unbeatable prices.,5/10/2023,"Edinburgh, UK",#BudgetFashion,Positive
62,Calvin Klein,@calvinklein,Classic and timeless designs.,12/14/2020,"Liverpool, UK",#IconicDesigns,Positive
63,River Island,@riverisland,Not as impressed with recent collection.,10/2/2022,"London, UK",#FashionReview,Neutral
64,Versace,@versace,Lavish and extravagant fashion.,7/15/2021,"Leeds, UK",#Luxury,Positive
65,Missguided,@missguided,Stylish options for young adults.,3/28/2023,"Manchester, UK",#YouthFashion,Positive
